Text,depressive,sentiment,emo1,emo2,emo3
can i deny myself that certainly i know more about her than she does about me.,1,0,2,,
Everyone just lives.,1,2,13,,
"so i do nothing and he laughs at me, and i go homeand higde and cry .",0,2,13,,
I did not do what these people say.,1,1,12,,
j r love you thank you for making my life so happy.,0,0,3,5,
"stay to deal with so-so much, as i do you also!",0,2,14,,
why should i go on.,0,1,12,,
of course ido not want to die but it is suffering to live.,1,1,6,12,
i am running away from everything.,1,2,13,,
you like guys little fag boy.,0,1,12,,
i came home and sat as i describe.,0,2,13,,
i envy others.,0,1,7,,
Usually I plan things out and am better with my writing.,0,2,13,,
I made up my mind last Wednesday when I came home from the hospital that I was not going to the hospital again.,1,1,12,11,13
I hope everyone would change and respect everyone.,0,0,2,,
"i need a favor -- if you have any contacts for any artists like gates, meek mill, ross, jay, game ... etc.",0,0,2,,
"If and when I die, I request you as a friend to take care that my salary goes to my mother and she is given a good character certificate in my name from the college Principal.",0,2,14,2,
I've just snapped I can't take this meaningless existence anymore I've been a constant disappointment and that trend would have only continued.,1,1,11,12,
YOU NEED TO BE STRONG FOR MOM.,0,2,14,,
i especially want to emphasize the rudeness this teacher showed to us students.,0,2,13,,
sharp the spanish blade to gash my throat after i'd climbed across the high railing of the bridge to tilt out with the knife in my right hand to slash me knocked or fainting till i'd fall unable to keep my skull down but fearless unless my wife would not let me out of the house unless the cops noticed me crossing the campus up to the bridge clappt me in for observation costing my job well i missed that but here is the terror of tomorrow's lectures bad in themselves the students dropping out of the course the administration hearing offering me either a medical leave of absence or res nationkitticat they cannot fire me,0,2,13,9,
im sure this was connected.,0,2,13,,
i appointed tomorrow night to see him and lay before him every iota of my position.,0,2,13,,
"I will never be able to have a relationship in which he is not the focus, affecting every aspect of my romantic interactions.",0,2,13,,
What give done has nothing to do with you two as parents.,0,2,13,,
I love you so freaking much.,0,0,3,,
i used to think of my failure as some mystical way of telling me that i was really meant for something meaningful.,1,2,13,,
i'd aim for my exit date to predate discomfort of intensity which might diminish my chance of creating on my own terms the final stroke of my lifes canvas.,1,0,2,12,
I've gotten nowhere in a year of looking.,1,1,12,,
They suck and should be shut down as soon as possible.,1,1,7,14,
i worship you that is myfault.,0,1,7,10,12
"Teachers, are you listening to these words?",0,2,13,,
i am giving my life not in war but to help end it.,1,2,13,11,
"goods, pictures and all my property of whatever nature or kind (except as aforesaid) shall be equally divided share and",0,2,13,,
i felt so alone even while with you.,1,1,12,,
i am unable to take the responsibility and look after my family.,1,1,10,12,
i cannot tell you how sorry i am for ending my life the way i did.,1,1,10,,
I battled alone for about thirteen months now until my strength failed me.,1,1,11,12,
They have nothing to do with my decision.,0,2,13,,
"never fear me, but love me with all of you!",1,2,14,,
"at last, this is the only letter i am getting to write.",0,2,13,,
Thanks,0,0,5,,
i cannot stand it anymore.,1,1,12,,
i have no complaints on anyone.,1,2,13,,
"sorry for everything, I wish I coulD go BAck in time @ correct my mistakes, but I cannt.",1,1,10,2,
"6th grade comes and NAME, my ?friend,? he failed and I failed too.",1,2,13,12,
"No one I dated was the right match, and I thought that maybe if I found the right person it would overwhelm him.",0,2,13,,
he is an ugly stupid faggot and we should kill him.,0,1,7,,
They have made my life abnormal.,1,1,8,,
under conditions like these nature herself looks more beautiful to me than ever.,0,2,13,,
I wish I knew the truth.,0,1,11,,
sorry i was fat.,0,1,10,,
perhaps to hear of my death may give you pain but you will soon have the blessing of forgetting that such a creature ever existed.,1,1,12,,
My feeling now is that there is no place for me in the world.,1,1,12,,
lee will be there for you.,0,2,13,,
I am so painfully sorry for this happening to you.,0,1,10,,
"i realized how much i had hurt my friends and family, which i did not think about before.",0,1,10,,
be quiet will you.,0,2,14,,
NAME loved NAME for NAME not the cars the money nothing.,0,0,3,13,
"while it's not for everyone, i really want to encourage those who want to, but are letting fear hold them back.",1,2,13,,
"dear mom, i love you with all my heart.",0,0,3,,
"People deal with cancer, or they go to war.",0,2,13,,
Anyone of you.,0,2,13,,
"I know that my mom, at least, loved me very much and tried her best.",0,0,3,,
I need to stop this.,1,2,14,,
i will be killing myself soon.,1,2,13,,
An evil that makes me want to end life.,1,1,10,,
i wish i could have made a happier life for you.,1,0,2,,
nicole and i had a good life together.,1,0,1,13,
"In counselling I was shown fee structure as follows- TUITION FEE = 8,55,000/- Rs & HOSTEL FEE - 2,00,000/- only.",0,2,13,,
Also you must comprehend there was no way out I.E.,0,2,14,2,
"I may not have shown it as much as I should have, but I am greatful.",0,0,1,,
do not let my wife kid you by saying she has not got any money.,0,2,14,13,
"I solely take the responsibility of the death of my wife, daughter, son and myself.",0,1,8,13,
"I should have believed Brendan when he told me early on about your verbal abuse and control freak trips, your lies and empty promises.",0,1,11,,
and do not be sad because you will be with me again.,1,2,14,,
after many hours of thought and meditation i have made a decision that should not be an example to anyone because it is unique to my situation.,1,2,13,,
sensation is all that matters.,0,2,13,,
it seems nothing could well be done to establish the fact that i am not involved in that statutory charge.,1,2,13,,
you may laugh at the contradiction between the love of nature and the wish for suicide.,0,0,2,12,
Funny.,0,0,1,,
The fact iS that any kind Of ordinary life iS an insult to those died at my hand.,1,1,10,12,
I asked (myself) who could be responsible for me.,0,2,13,,
No proof of such injury wrought has been produced in my case; the testimony for the government against me rests entirely upon the mere say-so of this paid informer.,0,1,12,,
I Miss You So Much.,0,2,13,12,
Make sure she cashes in wisely & can live well.,0,2,14,,
i was seeing a psychiatrist and i was just getting off the medication.,1,2,13,,
"In truth, I was still being pushed out, only slower.",0,1,12,,
And so he announced that he himself intended to pass upon the character of the book.,0,2,13,,
everything has gone from me but the certainty of your goodness.,0,2,13,,
listen.,0,2,14,,
but to those of you with depth and concern the real story will be what i hope and pray results from this morning in the coming months and years the development of a true justice system here in the united states.,0,0,2,13,
my spirit soars above my coffin.,0,0,4,12,
you must understand me.,0,0,2,14,
"People who can feel the love from others and give it back unadulterated, people who can experience sex as an intimate and joyous experience, people who can experience the colors and happenings of this world without constant misery.",0,2,13,,
i know that you are stupid assholes and that is more than you know,0,1,7,,
"people like me won't have to go to prison with a switch label where i could personally die regularly i would rather die myself, than trust a judge with my life for 3-6 hours.",0,2,14,,
How can possibly go around like everyone else while the widows and orphans I created continue to Struggle?,0,1,10,,
This is probably the longest suicide note ever.,1,1,12,,
The list of good cops include but are not limired TO : Officer NAME NAME & the approximate 10 other officers who are coming forward AgainsT illegal practices of the NYPD targeting my people unethically.,0,2,13,5,
cesare pavesea man who ejaculates prematurely should never have been born.,1,1,7,,
"Suicide may be a permanent solution to a temporary problem, but it's also a permanent solution to a ~23 year-old problem that grows more intense and overwhelming every day.",1,1,11,,
you will have to live with this until you die.,0,2,14,,
I could have handled this better.,0,0,2,,
it was preordained we should part,0,2,13,,
i present my remains with my compliments to any medical school that fancies them or soap can be made of them.,0,2,13,,
You guys are welcome to donate my body to science just like grandpa.,0,0,5,2,
"Not to mention - a partner to ""woman bash"" with.",0,2,13,,
"Once deciding on suicide (I do not regard it as a sin, as Westerners do), I worked out the least painful means of carrying it out.",1,1,9,,
the rest of my life would only be a burden for others.,1,1,12,,
i have lost every thing so why go on.,1,1,12,,
"ahmad, i never stopped being proud of you.",1,0,4,,
i am leaving this world without doing any wrong.,1,2,13,4,
Thank you very much.,0,0,5,,
"Thanks to the strictness of PLACE gun laws this will probably be much more painful than it needs to be, but what can you do.",0,2,13,,
goodbye my darling i hope you will be able to come see me soon.,0,0,2,,
"You are a great and friend, and my heart breaks knowing that what I am about to do will hurt you and your family.",0,1,12,13,
i have nothing left in this world to live for after this.,1,1,11,,
that is why i got that gun.,0,2,13,,
Its a release from stress and frustration and I'll be happier in the end.,1,0,2,1,
I have prepared this statement in regards to the acts I am about to commit.,0,2,13,,
I'm prepared for the pain and I am ready to no longer exist.,1,1,11,,
"but then it begins,",0,2,13,,
Just say'you've done well',0,2,14,,
"Im sorry you will sad at first, but better forget out from this.",0,1,12,13,
"inside i had no doubt that in the future, we would be close as friends or more.",0,2,13,,
I'm sorry this is short.,0,2,13,,
all of a sudden all will and determination to fight on has left me.,1,1,12,13,
When an animal dies that pet goes to rainbow bridge.,1,1,12,,
my mother or father to think that it was anything they did that lead me to kill myself.,0,1,8,,
"I was promised NAME and instead I got NAME, Because love you I would have stuck out NAME year and done everything he wanted to be with NAME for 5 of those but you threw me away when you absorbed anything worthwhile that was left of me.",0,0,3,7,
i hope i helped yours.,0,0,2,,
"They Offer no help, and actively block the pursuit Of gaming outside help via their corrupt agents at the ORGANIZATION.",0,1,8,7,
"Wouldn't it be better to stand for something or make a statement, rather than a fiery collision with some drunk driver?",1,1,7,,
"i just do not care anymore i need to go, i am so scared now.",1,1,9,,
That the major for havy faid in me too.,0,2,13,,
"All this positivity, the constant smiling, telling people that I am ok, even though I'm not.",1,1,12,,
"I AM AT PEACE, WITH COMPLETE CERTAINTY, I BELIEVE DAD IS STANDING WATCH ? PREPARED TO GUIDE ME INTO THE LIGHT.",0,0,1,2,
Lack of affection (verbal or not) I wanted.,1,1,12,,
live been fighting and fighting to get out of it.,1,1,12,,
thank you for making my life so happy.,1,0,5,,
please make sure that the sacrifice of my life is not in vain.,1,2,14,13,
if anybody could have saved me it would have been you.,1,2,13,,
Where there was no doubt of guilt Gov.,0,2,13,,
and i cannot wait till the day i get to see you again.,0,2,13,,
you are my children and i love you more than myself.,1,0,3,,
it is so lonely here.,1,1,12,,
"Maybe you grow able to tap into the universal force, and increase the creativity in the universe.",0,2,13,,
i have prayed long to my god and feel that i am doing the right thing.,1,2,13,,
"I always longed for someone permanant in my life, who'd undeniably say lll've got your back, I won't let you fail, no matter what.""",0,0,2,,
"my heart has always been in the night place, honest to God.",0,2,13,,
"It will not be given to the public until such time as the public shows itself ready for it, and prepared to protect this fuller and franker book from prosecution.",0,2,13,,
"so please forgive me, all those i love and may god forgive me too, but i cannot bear the agony and it [is] best for everyone this way.",1,0,0,,
"She has been sad since she found out I wasn't """"saved"""", since she believes I'm going to Hell, which is not a sadness for which I am responsible.",0,1,12,10,
But he tortured me a lot mentally.,0,1,6,8,
this is not to shove animosity against any individual priest who is human like everybody else and often a good and noble person indeed.,1,2,13,,
is not life and death all a part of nature?,1,2,13,,
I have been feeling this for the past two months.,1,2,13,,
I never realised that I would miss my home so much.,0,1,12,,
"And just because we filed the case, management used to HARASS us, specially my HOD Dr. NAME.",1,1,8,13,
give my poems in progress to the brik family they will take care of them.,0,2,14,11,
"skip and kathy, i love you guys, without you i never would have made it through this far.",1,0,3,,
Alcohol was also something that let me escape the darkness.,0,0,2,,
only because it seems so easy for people to get along that have empathy.,1,2,13,,
"People thought I was avoiding my orientation, but I was actually avoiding the truth, which is that while I'm straight, I will never be content with anyone.",1,1,12,,
"Growing up I viewed my future relationships as a possible escape from this thing that haunts me every day, but I began to realize how entangled it was with every aspect of my life and how it is never going to release me.",1,1,12,,
so i am doing what seems to be the best thing to do.,0,2,13,,
"This is what want, you gave me hsv and hpv, I want you to apologize for it because you care enough to.",0,0,2,13,
Tell marlie that i dont need the sticker.,0,2,14,,
Osama bin Laden is planning on blowing up the Super Bowl with an antiquated nuclear bomb left over from the 1967 Israeli-Syrian war.,1,1,9,,
"Ah, well, I guess I won't trouble them anymore, aud them trouble me of course, lol.",0,0,2,,
you will say i am crazy and i cannot go on this way just half living.,1,2,13,,
No one be upset I beg.,0,0,2,,
"should this no longer exist, to the state; should the state also be destroyed, no further decision of mine is necessary.",1,2,14,,
I talk to them on the phone like nothing happened.,0,2,13,,
the survival instinct is not concerned with whether i personally would be better off dead.,1,2,13,,
"Hey folks,",0,2,13,,
I tried to move into a position Of greater power and influence to try and right some Of the wrongs.,0,2,13,,
"I could never have just her, without the darkness being a part of all of our interactions.",1,2,13,,
commitment to a rational suicide spares one erosive accelerating investment against unwanted existence.,1,2,13,,
so many people thought i would go straight to the top.,1,2,13,,
i am a loyal person.,1,2,13,,
when i'm now 45 please.,0,2,14,,
I received in.,0,2,13,,
Before this I was on top of the world,0,2,13,,
"Clearly, the function of government is to protect the individual, from hardship and disease, from zealots, from the exploitation, from monopoly, even from itself.",0,2,13,,
I have lost my mind by spells and I do not dare think what I may do in those spells.,1,2,13,,
It will also help other professors from getting similar allegations when they are strict with students and give marks according to performance and not due to pressure.,0,2,13,,
I can barely leave the house.,0,2,13,,
However I feel like I have been a prisoner of depression for So long that some time i will be set free.,1,1,12,,
that was the beginning of my illness.,1,2,13,,
There is no one responsible for my suicide.,0,2,13,,
(3)most importantly LOVE GOD.,0,0,3,,
But I still lived.,0,2,13,,
"In the span of a few months, everything that mattered to me betrayed me.",1,1,12,,
no one had anything to do with this.,1,2,14,11,
Condolences to my people & Their loved ones who have been victims AT The hands of BAD cops for dreades.,0,1,12,,
"My old friends changed, they didn't talk to me, they didn't even like me.",1,1,12,,
i am sorry once again.,1,1,10,,
I struggled to forget those experiences but I could not.,1,1,12,,
I know I probably never told you enough but I really love you.,0,0,3,,
further i want to be remembered as a fairly active vibrant caring individual how people perceive of me now not the bedridden sickly forgetful person that i can see myself starting a path towards becoming.,1,2,14,,
i am unable to do anything because of poor health.,1,1,12,,
Understand that (REMOVED).,0,2,14,,
"i could wish that i had, for my goodby kiss, a .38 police special with which i have made some good scores - not records but at least made my mark.",0,2,13,,
I have that filing plastic thing in my Room some where that should have both kids ss cards and birth certificates.,0,2,13,,
"Different fabric But unlike your son, I wanted to please everybody and finally I failed.",0,1,11,10,12
thanks for all the pain.,0,0,5,,
PS PLEASE ACT AS THE EXECURIY OF MY ESTATE.,0,0,2,14,
i do not think two people could have been happier until this terrible disease came.,1,2,13,,
Many things throughout have belittled me - prevent me from being myself - improving my confidence & self-esteem.,1,1,12,13,
I keep trying and I keep failing.,1,1,11,12,
I NAME had interest in (REMOVED) since 5th grade.,0,2,13,,
they will torture our seniors.,0,2,13,,
i feel like shit everyday i do not want to go out anymore.,1,1,12,13,
i would have let you shoot me without further ado but it is not possible to hang the german reichsmarschall i cannot permit this for germanys sake.,0,2,14,13,
I wanted to know but nobody knew.,0,2,13,,
as a glorious thing made up of star dust.,0,2,13,,
"Please Please every body wheather you like each other or not come together for the kids and keep them happy, Healthy, Safe.",0,0,2,,
I dont deserve it I am not worthy.,1,1,11,12,
i was burning in hell every day.,1,1,6,,
"I beg you to please re-open the enquiry and ask the administration to rusticate Roll # 18444, BS Mass Com on the basis of putting false allegations against a professor.",0,0,2,7,
i am never going to find a man who loves me.,1,1,12,13,
"""the time has come for me to move on.",0,0,2,,
"we already teeter,",0,2,13,,
"I was a happy person, loved life, I was confident and I felt good in my",0,0,1,3,
"Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government... - Abraham Lincoln",0,2,13,,
"The American people have a right to seek and to obtain knowledge upon right living in the marriage relation, either orally or in print, without molestation by this paid informer, Anthony Comstock, or by anybody else.",0,2,13,,
the courses are going too bad for me.,0,2,13,,
my momma taught me to do good to others.,0,2,13,,
Chief.,0,2,13,,
"Please let my children know that I love them, I would do anything to be with them, but unfortunately we all have our limits.",0,0,3,12,11
I ordered NAME to fire the taser.,0,2,13,,
It's such hard work breaking old habits and I honestly do not want to be a hypocrit.,1,1,12,,
Their church was always more important than the members of their family and they happily sacrificed whatever was necessary in order to satisfy their contrived beliefs about who they should be.,0,1,7,8,
We had so many good memories together as well as the tragedy with Elise.,0,0,1,13,
(bath water deep enough to suffocate me when i pass out).,0,2,13,12,
"As for my vague sense of anxiety about my own future, I think I analyzed it all in A Fool's Life, except for a social factor, namely the shadow of feudalism cast over my life.",1,2,13,,
in this way heavy and thoughtful warmer than oil and water i have rested drooling at the mouthhole.,0,2,13,,
Biased explaination,0,2,13,,
"I've heard good things about what Jesus can do, yet Everywhere I go in Christianity, all the Christions I see or meet are miserable, angry, selfish, hypocritical, proud, power, hungry, Abusive, uncaring, confused, lustful, greedy, unsure of their doctrine and mean spiritel.",1,1,12,,
It would anyway have happened anytime in future.,0,2,13,,
"In truth, I was nothing more than a prop, filling space SO that my absence would not be noted.",0,2,13,7,
Please do write something; SIGNATURE.,0,2,14,,
I'm reminded every morning of what was done to me and the control it has over my life.,1,2,13,,
"the hate that rages within me, rages not for those i love so dearly or those who have crossed my path.",1,2,13,,
"First we spit on the United Nations, then we expect them to clean up our mess.",1,1,7,8,
the only thing that brought joy to my school life was playing baseball and football.,0,2,13,,
"The fact iS, I am not getting better, I am not going to get bette, and I will most certainly deteriorate fUrther as time goes on.",1,1,12,11,
thank you for your time.,0,0,5,,
you need not expect to see me back again for i have made up my mind to make away with,1,2,14,13,
request moneylender: do not trouble my father.,1,2,14,,
even the cornea and the leftover urine were gone.,0,2,13,,
be kind to each other.,0,2,14,,
i have no control over anything in my life.,1,1,11,,
i see their drinks swilling in their fingers as their backs begin to face me.,0,2,13,,
"the only thing i dread, besides the pain, is the way my family will suffer.",1,2,13,,
sorry i came into this world.,0,1,10,,
i am gay and i should not be fucked over because of that.,1,2,13,,
i totally hold Mr. NAME (chairman) & his management alongwith Dr.NAME,0,1,8,,
Drive back and forth to (REMOVED) daily for a period than it goes to 3 days a week through 3 months of minter it is only 1 time a week.,0,2,13,,
"I used to think if I solved some problem or achieved some goal, maybe he would leave.",0,0,2,,
"Even during the hard times, I felt charmed.",0,0,5,11,
Yes this does seem To be out of character but i ask that you finish reading before you make that decision.,0,2,14,13,
"It's likely that things wouldn't have worked out with her and we would have broken up (with our relationship ending, like the majority of relationships do) even if I didn't have this problem, since we only dated for a short time.",0,2,13,,
i would like to send my regards to miss s. in drew seminary.,0,2,13,,
i present this picture of another womanthe girl i thought i married.,0,2,13,,
all this press talk about a rocky relationship was no more than what every long-term relationship experiences.,1,2,13,,
"I am in hopes that a column of some sort can be printed in the Journal (REMOVED) about how & was treated by police and (REMOVED) narcotics officers, after I gave them information leading to the arresting of some of (REMOVED) Major drug deals.",0,0,2,,
"i want you to, and do not think for one minute that i have not appreciate everything you have done.",1,2,13,,
I can only hope my sacrifice is worth more than those brave lives thrown away when we attacked an Arab nation under the deception of 'Weapons of Mass Destruction'.,0,0,2,,
"delhi police, please get vipin punished for his acts.",0,2,14,7,
practically all of these hypotheses will be dramatic and completely wrong.,0,2,13,,
"if i were, your bitchy comments that i am assuming were your attempt to help, would not have.",0,1,12,,
and now i am the one who is blamed for everything.,1,1,10,12,
that is what we spend million of dollars building persons for.,0,2,13,,
i am leaving you with your worries in this sweet cesspool.,1,1,7,,
I will never be able to be at peace or content or in a healthy relationship.,1,1,12,11,
i think spinoza told the world more than christ did although christs message was more fundamental.,0,2,13,,
no one is responsible for my this act of killing myself.,1,2,13,,
I got real dark.,1,1,12,,
i want dr. b. to officiate at my funeral.,0,2,14,,
it feels good but never felt so good i tell you.,1,2,13,,
"Those men who invaded our house Killed me, and Those awful people bringing These bogus charges.",1,1,8,7,
i think i will be happy in heaven no longer a faggot just a person.,1,0,2,,
time eternity.,0,2,13,,
Parts of it are too terrible and would hurt people.,0,2,13,,
"goodbye, everybody!",0,1,12,13,
This has affected every aspect of my life.,1,2,13,,
I request no legal action on any of my family members.,0,0,2,14,
it does not help me.,1,2,13,,
it does not matter.,1,2,13,,
I didn't die alone you are all sitting here with me in my heart.,0,2,13,,
i am sorry for all that i have done to us.,1,1,10,,
"to whom it may concern,",0,2,13,,
death is i tell you i do not care how many screams you hear i do not care how many anguished cries death is a million times preferable to spend more days in this life.,1,2,13,,
Our elected representatives are supposed to find diplomatic and benevolent solutions to these situations.,0,0,2,13,
do not grieve for me.,1,2,14,,
"i hope i can find a place of peace and happiness, a place i am child enough to live, yet man enough to survive.",1,0,2,,
i am at this point right now so embittered against the world that i do not know why i am writing this.,0,0,2,12,
I know now that the darkness will never leave.,1,1,11,12,
i believe this is true for the majority though not for all.,0,2,13,,
this sheer cliff so high.,1,2,13,,
there is in my heart no body except him-there was none before and nor will there be any in future.,1,2,13,,
"All it takes is a single doctor who violates my trust, just like the """"friends"""" who I told I was gay did, and everything would be made public and I'd be forced to live in a world where people would know how fucked up I am.",1,1,12,,
my landlord newton called.,0,2,13,,
you were always the one that provided for her.,0,1,8,,
"i'd tried twice, but those times were not serious.",1,2,13,,
you destroyed my christmas and my birthday dinner when i came back.,0,1,8,,
this is where i get off.,0,2,13,,
i love you!,0,0,3,,
then you have no future you will never be saved it is the end.,1,2,13,,
absolutely no reason except i have a toothache.,1,2,13,,
THERE IS A LITTLE SURPRISE WAITING FOR YOU IN THE BOA ACCOUNT.,0,2,13,,
"especially you, why not lee?",0,2,13,,
i sincerely regret any inconvenience that this may have caused anyone involved.,1,1,10,,
i am not hurt at this moment.,1,1,12,,
They don't understand why I'm here.,0,2,13,,
i almost like it when my friends come to me with problems.,0,2,13,,
i am sorry i have changed.,1,1,10,,
"i have tried so hard to make our lives pleasant and lovable, but you did not seem to care.",0,2,13,,
"i try to edge my way back into the circle of giggles and talking,",0,2,13,,
"it made me realize how much i appreciate myself, because i had a glimpse of what i might have lost.",1,2,13,,
people do not understand how to be selfless.,1,1,12,,
dear it will soon be all now over.,0,2,13,,
"It was quiCk, and I did not suffer.",0,2,13,,
Today was going to be a good day.,0,0,2,1,
"i loved her, always have and always will.",0,0,3,,
my death needs to mean something.,1,2,14,,
as a last salutation may i present 'life eternal'.,1,1,12,,
"Lastly, the ORGANIZATION enters the picture again as they have managed to create such a culture Of fear ill the medical community that doctors are too scared to even take the necessary Steps to control the symptomS.",0,1,9,8,
do not get angry on me.,1,2,14,,
"thus, the other day, i heard they were honoring the canadian men and women who fought at the frontline during the world wars.",1,2,13,,
"""say goodbye to pat, say goodbye to the president, and say goodbye to yourself, because you are a nice guy.""",0,2,14,4,
i am so........ sorry for being skinny .,0,1,10,,
Thank you for being the best parents..,0,0,5,,
"share alike between my children William Charles Willes, Alice Howard, Elizabeth McCallough, Harriett Elenoh",0,2,13,,
we cannot go back they will not leave us alone.,0,2,13,12,
people look at you like you are dangerous.,1,2,13,9,
"i felt humiliated, which made me angry.",1,2,13,12,
I love you.,0,0,3,,
I'm fed up of fighting & struggling the worse situations.,1,2,13,,
"Mom, that singular act instead of helping me fueled what is about to happen to me a few minutes from now.",1,1,12,,
life is unbearable for me?forgive me.,1,0,0,,
Please push my SSI through soon so I can at least be able to DO SOMETHING.,0,0,2,14,
I apologized about and I did whatever I had to do to make it up,0,0,0,,
i wish we had spent more time together in recent years.,0,1,12,,
the fbi lied in their report to the ag attorney general the press is covering up the illegal benefits they received from the travel staff the gop has lied and misrepresented its knowledge and role and covered up a prior investigation the ushers office plotted to have excessive costs incurred taking advantage of kaki white house designer and hrc hilary rodham clinton the public will never believe the innocence of the clintons and their loyal staff the wsj wall street journal editors lie without consequence i was not meant for the job or the spotlight of public life in washington.,0,2,13,,
Nothing seems real now.,1,1,12,11,
"Do what you love, child.",0,2,14,,
But even this made no impression upon NAME; he still is firmly convinced (so he says) that Anthony Comstock is a strictly truthful man.,0,1,8,,
absolutely no reason except i have a toothache.,0,2,13,,
this note should be pretty easy to understand.,0,2,14,,
"call your mother, she will know what to do.",0,2,14,,
My name is NAME.,0,2,13,,
"If I have any freedom left, that freedom is the control over my own life and body , and I shall exercise it by removing myself from the hurt that the Home Office has put me under, and end my own life.",1,1,12,,
I think my identity was swiped.,1,1,11,,
She needs you.,0,2,13,,
If someone had query about me I will undergo medical examination that I never had sex.,0,2,13,,
That first sip of iced cold brew in sticky August.,0,2,13,,
"Even if I felt like this is something I could have shared, I have no interest in being part of a friendship or relationship where the other person views me as the damaged and contaminated person that I am.",1,1,12,,
I want you to take care when you are with other girts and pay attention to your body your actions effect people.,0,2,14,,
"I am filled with so much hate, hate toward myself hate towards God and unimaginable emptyness it seems like everytime we do something fun I think about how Elise wasn't here to share it with us and I go right back to anger.",1,1,7,11,
do not be too sad .,1,2,14,,
Shikata ga?nai.,1,1,12,11,
"Please tell NAME everyday how much you love hi, and provide him with stability.",0,0,3,14,
I request my CO-PG's to stand united & support each other at last.,0,2,13,,
i have to say goodbye now so do not be sad.,0,2,14,,
i am never happy.,1,1,12,,
i am afraid i am a coward.,1,1,9,13,
They live in a black and white reality they've constructed for themselves.,0,1,8,,
about you cheating on me.,1,1,12,,
"If one death can atone for anything, in any small way, to say to the world: I apologize for what we have done to you, I am ashamed for the mayhem and turmoil caused by my country.",1,1,12,,
Remember me for when I was happy.,0,2,14,,
i tell you get moving get moving get moving.,1,2,14,,
"your dad told you not do these things - I owe you & Lois will provide something for you - Lois, you keep all you need -",0,2,14,13,
from the final hiaku of a twentytwoyearold kamikaze pilot.,0,2,13,,
jones i have tried my best to give you a good life.,0,2,13,,
"are all those Christians going to be in hell for not following and/or believing in you the ""right way""?",1,1,9,,
you may not have known this but you affected me deeply to a point where i lost myself in loving you.,1,1,8,,
"speaking from the tongue of an experienced simpleton who obviously would rather be an emasculated, infantile complain-ee.",1,2,13,,
"I have the urge to declare my sanity and justify my actions, but I assume I'll never be able to convince anyone that this was the right decision.",0,1,12,11,
with your indifference to me; is the difference.,0,2,13,,
"Not because of her (I got over our relationship relatively quickly), but because of the realization that I would never have another relationship and because it signified the last true, exclusive personal connection I could ever have.",1,2,13,,
"Fram a logical standpoint, it iS better to Simply end things quickly and let any repercussions from that play out in the Short term than to drag things out into the long term.",1,1,12,,
not too much gossip please.,0,2,14,,
i am scared and i am tired and i can not take any more.,1,1,11,,
she had recently run away with his brother.,0,2,13,,
I want you to be strong and live life with whole respect as your husband has not done anything.,0,0,2,,
"I can't stop people from spreading rumours, but at least I could try and spread what really happened seeing as it's still being talked about anyway.",0,2,13,,
"All day, every",0,2,13,,
you cannot get health insurance.,1,2,13,,
i hope you can understand that.,0,0,2,,
people say 'it gets better' but that is not true in my case.,1,2,13,,
some people do not talk to me.,1,1,12,,
"and i am in college but barely, i show up to class but that is about it.",0,2,13,,
please do not tell my mother the truth - your whole tribe is partly responsible for this - from your mother on down - hope they are satisfied.,0,2,14,8,2
"sanjay rathod saheb,
 i have not been able to reap my crop due to bad monsoon.",1,2,13,12,10
"In fact, I'd prefer it be made public to people being unable to read it and drawing their own conclusions.",0,0,2,,
i have wanted to be dead for so long.,1,0,2,,
I want you to know How very much I LOVE you.,0,0,3,,
try not to grieve.,1,2,14,,
So judge me by my actions.,0,2,14,13,
That is the truth of certain politicians nowadays.,0,2,13,,
he ranks.,0,2,13,,
I guess i'm a fuck up & a loser.,1,1,6,11,
i expected to be put in a straitjacket any minute.,0,2,13,,
to celebrate the goodness.,0,2,13,,
"They would follow up such a person even when he went into the service of other employers, and leave no stone unturned to ruin him in after years.",0,2,13,,
"instead, knowing there to be a marked shortage of cadavers for the medical profession, for which i have endless respect, i hereby bequeath 1) my body to medics for dissection; also 2) to mark b. all personal effects - to be divided as whim decrees - with dr. lois j., l.a. and to each - a deep fondness and love.",1,2,13,3,
"thus it is an obvious truth that if the olympic games removed the men-women distinction, there would be women only in the graceful events.",0,2,13,,
"I am taking my life, because a judge, at the instigation of Anthony Comstock, has decreed me guilty of a crime which I did not commit--the circulation of obscene literature--and has announced his intention of consigning me to prison for a long term.",0,1,8,,
oh how can i stand being left.,0,1,12,,
i appreciate the fact that i and we have affected and entertained a lot of people.,0,0,1,,
the dear children how warmly have i been attached to you charlotte since the first hour i saw you how impossible have i found it to leave you this ribbon must be buried with me it was a present from you on my birthday.,0,0,5,,
i called a friend who is not upset by my death wish.,0,2,13,,
my fondes dreams are shattered because ofa petty offial i decide to end it.,1,1,12,,
Readers i implore you to Go hug somebody!,0,0,3,,
To God:,0,2,13,,
i am wondering if i will find time to think of the past as i whirl through space as it is said that a drowning man does when struggling in the water.,1,1,9,11,
and i like to choose my own kind of death for a change.,1,2,13,,
i end mine because it seems not only futile but wrong to go on existing.,1,1,11,13,
God is ready so am I. I definitely don't want to leave anything a question beacuse I think that would be even harder to handle.,0,2,13,,
Have you even once sat down and really thought how this affects me.,0,1,7,,
