,Text,depressive,sentiment,thai_text
730,then i feel like i am not existing in the human race at all.,1,1,ฉันรู้สึกเหมือนไม่มีตัวตนอยู่ในเผ่าพันธุ์มนุษย์เลย
731,"I realize this sounds like the trival heartbreak whine of a 16 year old, but I cant help it.",1,1,ฉันรู้ว่ามันฟังดูเหมือนเสียงสะอื้นจากความอกหักเล็กน้อยของเด็กอายุ 16 ปี แต่ฉันช่วยไม่ได้
732,"All I've ever wanted was someone to be madly in love with, to go through life with in that great, dedicated relationship.",0,0,ทั้งหมดที่ฉันต้องการคือใครสักคนที่จะรักอย่างบ้าคลั่ง ใช้ชีวิตร่วมกันในความสัมพันธ์ที่ยิ่งใหญ่และทุ่มเท
733,i love every one but i cannot be one of you any more.,0,0,ฉันรักทุกคน แต่ฉันไม่สามารถเป็นหนึ่งในคุณอีกต่อไป
734,i create good i create i the lord do these things.,0,0,ฉันสร้างความดี ฉันสร้าง ฉันพระเจ้าทำสิ่งเหล่านี้
735,Tell NAME that mommy loves her everyday.,0,2,บอก NAME ว่าแม่รักเธอทุกวัน
736,i do not want to be such a fucking problem for my family either.,1,1,ฉันก็ไม่อยากเป็นตัวปัญหาของครอบครัวเหมือนกัน
737,that's the only thing i pray for.,0,2,นั่นเป็นสิ่งเดียวที่ฉันอธิษฐานขอ
738,We finally made it.,0,2,ในที่สุดเราก็ทำสำเร็จ
739,"You stupid NAME, I didn't ever ask to be harm.",0,2,คุณ NAME โง่ ฉันไม่เคยขอให้ทำอันตราย
740,in spite of all that i have tried a handful of our people with their lies have made our life impossible.,0,1,ทั้งๆที่ฉันได้ทดลองคนของเราไม่กี่คนด้วยการโกหกของพวกเขาทำให้ชีวิตของเราเป็นไปไม่ได้
741,i tried to keep the yard up that seemed to be the only comfort i had.,1,2,ฉันพยายามรักษาลานไว้ซึ่งดูเหมือนจะเป็นความสะดวกสบายเพียงอย่างเดียวที่ฉันมี
742,i write oh thou have mercy.,0,0,ฉันเขียนโอ้พระองค์ทรงเมตตา
743,I had intrest in astrophysics and quantum physics and would have done a BSc but a B tech is not something I wanted to do.,0,2,ฉันมีความสนใจในฟิสิกส์ดาราศาสตร์และฟิสิกส์ควอนตัมและจะทำ BSc แต่เทคโนโลยี B ไม่ใช่สิ่งที่ฉันอยากทำ
744,i am too sensitive.,1,2,ฉันอ่อนไหวเกินไป
745,for 23 years we lived happy together.,1,2,เป็นเวลา 23 ปีที่เราอยู่ด้วยกันอย่างมีความสุข
746,i hate myself and i hate living.,1,1,ฉันเกลียดตัวเองและฉันเกลียดการมีชีวิตอยู่
747,i was therefore not in a position to repay the bank and my debtors.,0,2,ข้าพเจ้าจึงไม่อยู่ในฐานะที่จะชำระหนี้แก่ธนาคารและลูกหนี้ของข้าพเจ้าได้
748,"If it takes my head to end this, so be it.",1,2,ถ้ามันต้องใช้หัวของฉันเพื่อจบเรื่องนี้ก็ช่างมันเถอะ
749,The world is going to shit who wants to live anyways?,0,1,โลกจะเละเทะ ใครจะยังอยากมีชีวิตอยู่ต่อไป?
750,"i love my mom, dad and my bai.",0,0,ฉันรักแม่พ่อและบายของฉัน
751,The loss of Project Sport seemed to take my whole social circle with it -- suddenly no one I knew through that life was talking to me anymore -- but I made new circles.,0,1,การสูญเสีย Project Sport ดูเหมือนจะทำให้แวดวงสังคมทั้งหมดของฉันต้องสูญเสียไปด้วย -- จู่ๆ ก็ไม่มีใครที่ฉันรู้จักตลอดชีวิตนั้นกำลังพูดคุยกับฉันอีกต่อไป -- แต่ฉันได้สร้างแวดวงใหม่
752,He ended up fighting NAME and got a fractured pinkie.,0,2,เขาลงเอยด้วยการต่อสู้กับ NAME และได้นิ้วก้อยที่ร้าว
753,Long form!,0,2,ฟอร์มยาว!
754,"I hold myself responsible for my physical death,",0,1,ฉันรับผิดชอบต่อความตายทางร่างกายของฉัน
755,"i am so sick of being called ugly, fat, stupid ... worthless etc.",1,1,ฉันเบื่อมากที่โดนเรียกว่าขี้เหร่ อ้วน โง่ ... ไร้ค่า ฯลฯ
756,What is one more life thrown away in this sad and useless national tragedy?,1,1,อีกหนึ่งชีวิตที่ถูกโยนทิ้งไปในโศกนาฏกรรมแห่งชาติที่น่าเศร้าและไร้ประโยชน์นี้คืออะไร?
757,"What iS known iS that each of these Should have been cause enough for immediate medical attention, which was not rendered.",0,2,สิ่งที่ทราบคือแต่ละสิ่งเหล่านี้ควรเป็นสาเหตุเพียงพอสำหรับการรักษาพยาบาลทันทีซึ่งไม่ได้แสดงผล
758,i self harmed.,1,1,ฉันทำร้ายตัวเอง
759,I love your personality and we share almost all your interests and choices.,0,0,ฉันชอบบุคลิกของคุณและเราแบ่งปันความสนใจและตัวเลือกเกือบทั้งหมดของคุณ
760,read our messages,0,2,อ่านข้อความของเรา
761,make changes.,0,2,ทำการเปลี่ยนแปลง
762,"suddenly they call me over,",0,2,ทันใดนั้นพวกเขาก็โทรหาฉัน
763,i cannot be strong anymore.,1,1,ฉันไม่สามารถแข็งแกร่งได้อีกต่อไป
764,"i could not open my eyes or move, but i heard everything.",1,2,ฉันลืมตาหรือขยับไม่ได้ แต่ฉันได้ยินทุกอย่าง
765,I'm right back where I started.,1,1,ฉันกลับมาที่เดิมแล้ว
766,"to those who will say, 'i wish i had gotten to know them better"", and to those who might romanticize me and erase my flaws because im dead; ew no dont.",0,2,กับคนที่พูดว่า 'ฉันหวังว่าฉันจะรู้จักพวกเขาดีขึ้น' และกับคนที่อาจทำให้ฉันโรแมนติกและลบข้อบกพร่องของฉันเพราะฉันตายแล้ว ไม่เป็นไร
767,it has been a long day.,0,2,มันเป็นวันที่ยาวนาน
768,"I'm so sorry? love, NAME.",0,1,ฉันขอโทษ? รัก NAME
769,"do not let them see you,",0,2,อย่าให้พวกเขาเห็นคุณ
770,"eventually they realized they did not actually give a shit about me, and i felt even lonelier than i did before.",1,2,ในที่สุดพวกเขาก็รู้ว่าจริงๆ แล้วพวกเขาไม่ได้สนใจฉันเลย และฉันรู้สึกเหงากว่าที่เคยเป็น
771,"Jeff & I were suppose to go see ""Lord of the Rings - 3"", but I can't go now.",0,2,"เจฟฟ์และฉันคิดว่าจะไปดู ""ลอร์ด ออฟ เดอะ ริงส์ - 3"" แต่ตอนนี้ฉันยังไปไม่ได้"
772,friends were there 24 hours a day.,0,2,เพื่อนอยู่ที่นั่นตลอด 24 ชั่วโมง
773,you cannot hurt me further and anyone else.,1,0,คุณไม่สามารถทำร้ายฉันและคนอื่นได้
774,i never wanted to be an irresponsible father but situation were such that i could not become a good father.,0,2,ฉันไม่เคยต้องการที่จะเป็นพ่อที่ขาดความรับผิดชอบ แต่สถานการณ์เป็นเช่นนั้นทำให้ฉันไม่สามารถเป็นพ่อที่ดีได้
775,I ENWLY YOUR HAPPY-GO-LUCKY ATTITUDE & THE BOUNDING OF FRIENDSHIP WHICH CONSISTENTLY HAVE SURROUNDED YOU THROUGHOUT YOUR LIFE.,0,0,ฉันขอให้ทัศนคติที่มีความสุขและโชคดีของคุณและขอบเขตของมิตรภาพซึ่งล้อมรอบคุณอย่างสม่ำเสมอตลอดชีวิตของคุณ
776,I hope that peace comes from you even if I don't understand the method to the outcome.,0,0,ฉันหวังว่าความสงบสุขจะมาจากคุณแม้ว่าฉันจะไม่เข้าใจวิธีการของผลลัพธ์ก็ตาม
777,"But Mr. Lefkow discovered me in the utility room about 9 a.m., he had an office next to the utility room.",0,2,แต่คุณเลฟโคว์พบฉันในห้องเอนกประสงค์ประมาณ 9 โมงเช้า เขามีสำนักงานอยู่ติดกับห้องเอนกประสงค์
778,The last thought that has occurred to me iS one of some kind Of final miSSion.,0,2,ความคิดสุดท้ายที่เกิดขึ้นกับฉันคือหนึ่งในภารกิจสุดท้ายบางประเภท
779,ask a guy who is gonna od (again) tonight anything,0,2,ถามผู้ชายที่จะ od (อีกครั้ง) คืนนี้อะไร
780,the motor got so hot it would not run so i just had to sit here and wait.,0,2,มอเตอร์ร้อนมากจนเดินไม่ได้ ฉันเลยต้องนั่งรอที่นี่
781,it's never about the other kid.,0,2,มันไม่เกี่ยวกับเด็กคนอื่น
782,NAME before also did hurt me and my family but he again misused our innocence and trust.,0,1,NAME ก่อนหน้านี้ยังทำร้ายฉันและครอบครัวของฉัน แต่เขากลับใช้ความบริสุทธิ์และความไว้ใจของเราในทางที่ผิด
783,it must be because we have thought of you in a thousand happy moments because we have imagined a thousand times how you with your generous nature would have laughed exulted if you had seen us together in the green room.,1,1,ต้องเป็นเพราะเราคิดถึงคุณในช่วงเวลาแห่งความสุขเป็นพัน ๆ ครั้ง เพราะเราจินตนาการเป็นพัน ๆ ครั้งว่า คุณที่มีนิสัยเอื้อเฟื้อเผื่อแผ่จะหัวเราะอย่างมีความสุขได้อย่างไรถ้าคุณเห็นเราอยู่ด้วยกันในห้องสีเขียว
784,Oh no that shit forget it.,0,1,โอ้ ไม่ ไอ้นั่น ลืมมันซะ
785,for the past six or seven years i have been enduring the slings and arrows of outrageous misfortune until i feel like a wornout pin cushion.,1,1,หกหรือเจ็ดปีที่ผ่านมาฉันต้องทนกับสลิงและลูกศรของความโชคร้ายอย่างอุกอาจจนฉันรู้สึกเหมือนเบาะรองนั่งที่ทรุดโทรม
786,I ied to receive this gun.,0,1,ฉันจะได้รับปืนนี้
787,"I know Debby wants me to move back to CA, but I just don't think I can do it.",0,2,ฉันรู้ว่าเด็บบี้ต้องการให้ฉันย้ายกลับไปที่แคลิฟอร์เนีย แต่ฉันไม่คิดว่าจะทำได้
788,i am deeply sorry for you.,1,1,ฉันเสียใจอย่างสุดซึ้งสำหรับคุณ
789,"you know, casey does not deserve to be where she is!",0,2,คุณรู้ไหม เคซีย์ไม่สมควรอยู่ในที่ที่เธออยู่!
790,"I am not able to dispute, I usually would not dispute because it creates unwanted tension.",0,2,ฉันไม่สามารถโต้แย้งได้ ฉันมักจะไม่โต้แย้งเพราะมันสร้างความตึงเครียดที่ไม่ต้องการ
791,I love him and only wanted him safe in my arms.,0,0,ฉันรักเขาและอยากให้เขาปลอดภัยในอ้อมแขนของฉันเท่านั้น
792,Additionally I CAN't SUFFICIENTLY IMPRESS TO YOU NOW!,1,1,นอกจากนี้ ฉันไม่สามารถสร้างความประทับใจให้กับคุณได้เพียงพอแล้วในตอนนี้!
793,i am happy now.,1,0,ตอนนี้ฉันมีความสุข
794,I don't find life interesting anymore.,1,1,ฉันไม่พบชีวิตที่น่าสนใจอีกต่อไป
795,the constitution means nothing to you.,0,1,รัฐธรรมนูญไม่มีความหมายอะไรสำหรับคุณ
796,There should be about 2 million worth Chos schnab has IRA my pensand stuff.,0,2,ควรมีค่าประมาณ 2 ล้าน Chos schnabel มี IRA ปากกาและสิ่งของของฉัน
797,"Third, my oldest friend in the City...my best friend...pulled my world out from under me.",1,1,ประการที่สาม เพื่อนที่เก่าแก่ที่สุดของฉันในเมือง...เพื่อนที่ดีที่สุดของฉัน...ดึงโลกของฉันออกจากใต้ฉัน
798,i tried to do my stuff but after marshalls summing up i have given up all hope.,1,1,ฉันพยายามทำสิ่งต่าง ๆ ของฉัน แต่หลังจากเจ้าหน้าที่สรุปว่าฉันเลิกหวังทั้งหมด
799,Just waiting for everything to end.,1,1,แค่รอให้ทุกอย่างจบลง
800,"i am never going to transition successfully, even when i move out.",1,1,ฉันจะไม่มีวันเปลี่ยนได้สำเร็จ แม้ว่าฉันจะย้ายออกก็ตาม
801,"i hope that you will forgive me, please forgive me.",1,0,ฉันหวังว่าคุณจะยกโทษให้ฉัน โปรดยกโทษให้ฉัน
802,i would actually prefer to render science at least this small service in this way.,0,2,ฉันอยากจะให้บริการวิทยาศาสตร์อย่างน้อยด้วยวิธีนี้
803,They have ruined my life and now they are trying to sabotage my family members.,1,1,พวกเขาทำลายชีวิตของฉันและตอนนี้พวกเขากำลังพยายามก่อวินาศกรรมสมาชิกในครอบครัวของฉัน
804,I don't have much more to say except it.,0,2,ฉันไม่มีอะไรจะพูดมากนอกจากมัน
805,"Israeli society isn't willing to deal with post-trauma, with sexual abuse, incest, or gang rape.",0,2,สังคมอิสราเอลไม่เต็มใจที่จะจัดการกับบาดแผลภายหลังการล่วงละเมิดทางเพศ การร่วมประเวณีระหว่างพี่น้อง หรือการรุมโทรม
806,And also I am not doing this because I am sad now...,1,1,และฉันจะไม่ทำเช่นนี้เพราะตอนนี้ฉันเศร้า...
807,do not notify my mother.,1,2,ไม่ต้องแจ้งแม่
808,i love you all.,0,0,ฉันรักทุกคน.
809,i feel a growing gap between my soul and my body.,1,1,ฉันรู้สึกถึงช่องว่างที่เพิ่มขึ้นระหว่างจิตวิญญาณและร่างกายของฉัน
810,she did her best.,0,2,เธอทำดีที่สุดแล้ว
811,"It is evident that the political pull of the party which fathers NAME is too powerful for any newspaper in ADDRESS to dare to raise a protest when, at the instigation of this ex officio informer, an innocent woman, engaged in a laudable work of sex reform, indorsed by reputable citizens, is arrested on false information and denied her right of trial by jury.",0,2,เห็นได้ชัดว่าแรงดึงทางการเมืองของพรรคซึ่งบิดาชื่อ NAME มีพลังเกินกว่าที่หนังสือพิมพ์ทุกฉบับใน ADDRESS จะกล้าหยิบยื่นการประท้วง เมื่อผู้แจ้งข่าวโดยตำแหน่งคนนี้ซึ่งเป็นสตรีบริสุทธิ์มีส่วนร่วมในงานปฏิรูปเพศที่น่ายกย่อง ซึ่งได้รับการสนับสนุนจากพลเมืองที่มีชื่อเสียง ถูกจับในข้อหาให้ข้อมูลเท็จและปฏิเสธสิทธิ์ในการพิจารณาคดีโดยคณะลูกขุน
812,I was not strong enough as you people thought of me.,1,1,ฉันไม่ได้แข็งแกร่งพออย่างที่พวกคุณคิดกับฉัน
813,it is my fault i screwed up my own life.,0,2,มันเป็นความผิดของฉันเองที่ฉันทำชีวิตตัวเองพัง
814,the loss of casey.,1,1,การสูญเสียเคซี่ย์
815,"He stated to NAME of the United States Circuit Court (secretly, not while in court), that I had even handed one of these books to the little daughter of the janitress of the building in which I have my office.",0,1,เขากล่าวกับ NAME ของ United States Circuit Court (อย่างลับๆ ไม่ใช่ขณะอยู่ในศาล) ว่าฉันได้ส่งหนังสือเหล่านี้หนึ่งเล่มให้กับลูกสาวตัวน้อยของภารโรงในอาคารที่ฉันมีสำนักงาน
816,I've moved schools.,0,2,ฉันย้ายโรงเรียนแล้ว
817,The world is a place to do SEWA.,0,2,โลกเป็นสถานที่สำหรับทำ SEWA
818,I know I'm so small in front of NAME but still I cannot see my parents call burdened with loans & debts.,0,2,ฉันรู้ว่าฉันตัวเล็กมากต่อหน้า NAME แต่ถึงกระนั้นฉันก็ไม่เห็นพ่อแม่ของฉันต้องรับภาระเงินกู้และหนี้สิน
819,Lord give me strength to get through this day productively.,0,0,พระเจ้าประทานกำลังให้ฉันผ่านวันนี้ไปอย่างมีประสิทธิผล
820,i am leaving this place forever without thoughts without hope without work alone in the dark of night.,1,1,ฉันออกจากที่นี่ไปตลอดกาลโดยไร้ความคิด ไร้ความหวัง ไร้งานเดียวดายในความมืดมิด
821,however i am doubtful about when i can dare to take my own life.,1,1,แต่ฉันก็ยังสงสัยว่าเมื่อไหร่ฉันจะกล้าปลิดชีวิตตัวเองเสียที
822,smile always because life never stops.,1,2,ยิ้มเสมอ เพราะชีวิตไม่เคยหยุดนิ่ง
823,Fortunate fortunate you!,0,2,โชคดีที่คุณโชคดี!
824,You're amazing and you deserve the best.,0,0,คุณยอดเยี่ยมมากและคุณคู่ควรกับสิ่งที่ดีที่สุด
825,I would like my life to be celebrated.,0,0,ฉันอยากให้ชีวิตของฉันมีการเฉลิมฉลอง
826,"Despite the nerves, I am reday.",0,2,แม้จะประหม่า แต่ฉันก็พร้อม
827,"my mother, father and brother should not suffer any harm.",0,2,มารดาบิดาและน้องชายของข้าพเจ้าไม่ควรได้รับอันตรายใดๆ
828,"i grieve that i could not have had the joy of being close to our babies, but that is no one's fault.",0,1,ฉันเสียใจที่ไม่มีความสุขที่ได้อยู่ใกล้ชิดกับลูกๆ ของเรา แต่นั่นไม่ใช่ความผิดของใคร
829,day a screaming agony in every nerve ending in my body.,1,1,ปวดร้าวระทมทุกข์ระทมทั่วกายใจ
830,"It's with a heavy heart that I write you this note, knowing the amount of pain it is going to cause you.",0,1,ด้วยหัวใจที่หนักอึ้งที่ฉันเขียนบันทึกนี้ถึงคุณ โดยรู้ว่ามันจะทำให้คุณเจ็บปวดมากแค่ไหน
831,i know how much it hurts.,1,1,ฉันรู้ว่ามันเจ็บมากแค่ไหน
832,We as a nation face the abyss of our own design.,0,1,เราเป็นประเทศที่ต้องเผชิญกับก้นบึ้งของการออกแบบของเราเอง
833,"Each time that I have been arrested, I have escaped by a compromise; but I resolved, when I came to PLACE, that if again attacked by Comstockism, I would stand my ground and fight to the death.",0,2,ทุกครั้งที่ผมถูกจับ ผมหนีโดยประนีประนอม แต่เมื่อฉันมาถึง PLACE ฉันตัดสินใจว่าหากถูกโจมตีอีกครั้งโดย Comstockism ฉันจะยืนหยัดและต่อสู้จนตัวตาย
834,"I understand that I am at fault, and what I have done in unforgiveable.",0,2,ฉันเข้าใจว่าฉันเป็นคนผิดและสิ่งที่ฉันทำไปอย่างไม่น่าให้อภัย
835,"I am not worthy of you, you are the perfect wife you deserve so much better.",1,1,ฉันไม่คู่ควรกับคุณ คุณเป็นภรรยาที่สมบูรณ์แบบ คุณสมควรได้รับสิ่งที่ดีกว่านี้มาก
836,NAME once stated in a political speech that the Quay party were relentless in hounding those who refused to pay political assessments.,0,2,NAME เคยกล่าวไว้ในสุนทรพจน์ทางการเมืองว่าพรรค Quay ไม่หยุดหย่อนในการไล่ล่าผู้ที่ปฏิเสธที่จะจ่ายค่าประเมินทางการเมือง
837,"But I do want family to be extremely Involved, I want the kids to grow up together SAME SCHOOL and lots of time together.",0,0,แต่ฉันต้องการให้ครอบครัวมีส่วนร่วมอย่างมาก ฉันอยากให้เด็กๆ เติบโตมาด้วยกันโรงเรียนเดียวกันและมีเวลาอยู่ด้วยกันมากมาย
838,getting back to why i cannot live anymore: i cannot function knowing our granddaughter is gone.,0,2,ย้อนกลับไปว่าทำไมฉันถึงอยู่ต่อไปไม่ได้: ฉันทำงานไม่ได้เมื่อรู้ว่าหลานสาวของเราจากไปแล้ว
839,I cried a lot and wasn't stable enough for the kids.,1,2,ฉันร้องไห้บ่อยและไม่มั่นคงพอสำหรับลูก
840,lets see if this will do it.,0,0,มาดูกันว่าสิ่งนี้จะทำได้หรือไม่
841,we have found out who the people with the mark of the beast are.,0,2,เรารู้แล้วว่าคนที่มีเครื่องหมายของสัตว์ร้ายคือใคร
842,we cannot have this.,0,1,เราไม่สามารถมีสิ่งนี้ได้
843,All the warnings from the punk Bock IOI courses over the years.,1,2,คำเตือนทั้งหมดจากหลักสูตรพังค์ Bock IOI ในช่วงหลายปีที่ผ่านมา
844,stillborn they do not always die but dazzled they cannot forget a dung so sweet that even children would look on and smile.,1,2,พวกเขาตายตั้งแต่เกิด พวกเขาไม่ได้ตายเสมอไป แต่พวกเขาจะตื่นตาตื่นใจ พวกเขาไม่สามารถลืมมูลสัตว์ที่หวานจนแม้แต่เด็ก ๆ ยังมองและยิ้มได้
845,"I did try to be a good person, but I realize I never got very far.",1,1,ฉันพยายามเป็นคนดี แต่ฉันรู้ว่าฉันไปไม่ไกล
846,so a minute later i found some seconals in a medicine cabinet.,0,2,ไม่กี่นาทีต่อมาฉันก็พบ seconals ในตู้ยา
847,"I really have been trying to hang on, far more than a decade Each day has been a testament to the extent to which I cared, suffering unspeakable horror as quietly as possible so that you could feel",1,1,ฉันพยายามอดทนมากว่าทศวรรษแล้ว แต่ละวันเป็นบทพิสูจน์ถึงขอบเขตที่ฉันห่วงใย ทนทุกข์กับความสยดสยองที่บรรยายไม่ได้ให้เงียบที่สุดเท่าที่จะเป็นไปได้เพื่อให้คุณรู้สึกได้
848,"what the outcome, people will look and point.",1,1,ผลจะเป็นอย่างไร คนจะมอง และชี้เป็นชี้ตาย
849,"First, there are the logistics of financing and equipping my operation, then there iS the near certainty Of a griSly death, international incidents, and being branded a terrorist in the media that would follow.",0,1,ประการแรก มีโลจิสติกส์ในการจัดหาเงินทุนและจัดเตรียมการดำเนินงานของฉัน จากนั้นมีสิ่งที่ใกล้จะแน่นอนคือความตายอันน่าสยดสยอง เหตุการณ์ระหว่างประเทศ และการถูกตราหน้าว่าเป็นผู้ก่อการร้ายในสื่อที่จะตามมา
850,Thank you Lord for being here for me.,0,0,ขอบคุณพระเจ้าที่อยู่ที่นี่เพื่อฉัน
851,I hope this letter explains why I needed to do this.,0,0,ฉันหวังว่าจดหมายฉบับนี้จะอธิบายว่าทำไมฉันถึงต้องทำสิ่งนี้
852,"Look@mess I created lol, don't believe everything in the news.",0,2,Look@mess ฉันสร้าง lol อย่าเชื่อทุกอย่างในข่าว
853,There is all being thrown away for no reason.,1,1,มีทั้งหมดถูกโยนทิ้งไปโดยไม่มีเหตุผล
854,i do not think two people could have been happier than we have been.,1,2,ฉันไม่คิดว่าคนสองคนจะมีความสุขมากกว่าที่เราเคยเป็น
855,people may dub me as a coward.,1,1,ผู้คนอาจขนานนามฉันว่าเป็นคนขี้ขลาด
856,farewell for ever.,0,1,ลาก่อนตลอดกาล
857,many people attend uninteresting classes for four years and wait for employment.,0,2,หลายคนเข้าเรียนที่ไม่น่าสนใจเป็นเวลาสี่ปีและรองาน
858,we for our part wish to know nothing of the joys of this world we know and dream only of heavenly meadows and suns in the light of which we shall stroll about with long wings on our shoulders.,0,2,ส่วนของเราไม่ปรารถนาที่จะรับรู้ถึงความสุขของโลกนี้ที่เรารู้จักและฝันถึงทุ่งหญ้าบนสวรรค์และดวงอาทิตย์ท่ามกลางแสงสว่างซึ่งเราจะเดินเล่นโดยมีปีกยาวบนบ่า
859,"It so happens that there is no janitress in this building, nor is there any little girl connected with same.",0,2,มันเกิดขึ้นที่ไม่มีภารโรงในอาคารนี้และไม่มีเด็กหญิงตัวเล็ก ๆ ที่เกี่ยวข้องกับสิ่งเดียวกัน
860,papa your unfortunate daughter laxmi,0,1,พ่อลักษมีลูกสาวผู้โชคร้ายของคุณ
861,sorry i was not perfect.,0,1,ขอโทษที่ฉันไม่สมบูรณ์แบบ
862,you did not respect me.,0,1,คุณไม่เคารพฉัน
863,We have fined for thousand of rupees for no valid reason. They never give our stipend monthly.,1,1,เราได้ปรับเป็นเงินหลายพันรูปีโดยไม่มีเหตุผลอันสมควร พวกเขาไม่เคยให้ค่าจ้างรายเดือนแก่เรา
864,that is all i get around here.,0,2,นั่นคือทั้งหมดที่ฉันได้รับที่นี่
865,my dearest i have taken my life in order to provide capital for you.,0,2,สุดที่รักของฉัน ฉันสละชีวิตเพื่อจัดหาทุนให้คุณ
866,"I'm not doing this for revenge to those students that raped me, set up the rape, bullied me about the rape, teased me about the rape or anything like that.",1,2,ฉันไม่ได้ทำเพื่อแก้แค้นนักเรียนที่ข่มขืนฉัน จัดฉากการข่มขืน รังแกฉันเกี่ยวกับการข่มขืน ล้อฉันเกี่ยวกับการข่มขืน หรืออะไรทำนองนั้น
867,"every morning, day, night i look in the mirror and cry, and replay the harmful words in my head.",1,2,ทุกเช้า กลางวัน กลางคืน ฉันมองกระจกและร้องไห้ และเล่นซ้ำคำที่เป็นอันตรายในหัวของฉัน
868,As time went out - I just quit offering my opinions (or even thought I had one).,0,2,เมื่อเวลาผ่านไป - ฉันเลิกเสนอความคิดเห็นของฉัน (หรือแม้แต่คิดว่าฉันมี)
869,Judge Lefkow was No.,0,2,ผู้พิพากษา Lefkow ไม่ใช่
870,I already told you the story.,0,2,ฉันเล่าเรื่องให้คุณฟังแล้ว
871,the irs and its liens which have been taken against our property illegally by a runaway agency of our government have dried up all sources of credit for us.,0,1,irs และภาระผูกพันที่ถูกยึดไปจากทรัพย์สินของเราอย่างผิดกฎหมายโดยหน่วยงานที่หลบหนีของรัฐบาลของเราได้ทำให้แหล่งที่มาของเครดิตทั้งหมดแห้งไปสำหรับเรา
872,either i live the rest of my life as a lonely man who wishes he were a woman or i live my life as a lonelier woman who hates herself.,1,1,ไม่ว่าฉันจะใช้ชีวิตที่เหลือในฐานะผู้ชายโดดเดี่ยวที่ปรารถนาให้เขาเป็นผู้หญิง หรือฉันจะใช้ชีวิตในฐานะผู้หญิงโดดเดี่ยวที่เกลียดตัวเอง
873,"if you are reading this, parents, please do not tell this to your kids.",0,0,หากคุณกำลังอ่านข้อความนี้ ผู้ปกครองโปรดอย่าบอกเรื่องนี้กับบุตรหลานของคุณ
874,this is to state that i ron r. berst mothers maiden name is swinburne did take my own life due to the fact that i have the disease aids and it has progressed both rapidly and to the point where 1 how ill i constantly feel and have almost no energy and 2 i very soon expect to become a burden to my friends and family and i do not want to put any of them through such an ordeal.,0,2,นี่คือการระบุว่า i ron r นามสกุลเดิมของมารดา berst คือ swinburne ได้ปลิดชีวิตตัวเองเนื่องจากข้อเท็จจริงที่ว่าฉันมีโรคเอดส์ และมันได้ดำเนินไปอย่างรวดเร็วและถึงจุดที่ 1 ฉันรู้สึกป่วยอย่างต่อเนื่องและแทบไม่มีเรี่ยวแรง และ 2 ฉันคาดหวังว่าจะเร็ว ๆ นี้ กลายเป็นภาระของเพื่อนและครอบครัวของฉัน และฉันไม่ต้องการให้พวกเขาผ่านการทดสอบดังกล่าว
875,He is doing now such thing.,0,2,ตอนนี้เขากำลังทำสิ่งนี้อยู่
876,"Finally, whatever it is, I am sure my death is not going to make a big difference to this world",1,0,สุดท้าย ไม่ว่าอะไรจะเกิดขึ้น ฉันแน่ใจว่าความตายของฉันจะไม่สร้างความแตกต่างให้กับโลกใบนี้
877,i wanted to visit you but i am going around in a dream.,0,2,ฉันอยากไปหาคุณ แต่ฉันกำลังจะไปในความฝัน
878,"I'm also not doing this for attention seeking like I mentioned earlier, I want to make that clear.",0,2,ฉันไม่ได้ทำเช่นนี้เพื่อเรียกร้องความสนใจอย่างที่ฉันได้กล่าวไว้ก่อนหน้านี้ ฉันต้องการทำให้ชัดเจน
879,"we are better than holding our owne but in heaven god is almost over come and i kill myself so i may go and help him, because i have a funny little quirk in my brain which helps.",1,0,เราดีกว่าถือกรรมสิทธิ์ของเรา แต่ในสวรรค์พระเจ้าเกือบจะมาและฉันก็ฆ่าตัวตายเพื่อที่ฉันจะได้ไปช่วยเขาเพราะฉันมีนิสัยแปลก ๆ เล็ก ๆ น้อย ๆ ในสมองของฉันซึ่งช่วยได้
880,"saying good bye, please understand it is for the best.",0,1,การบอกลาโปรดเข้าใจว่าเป็นการดีที่สุด
881,Especially you MOM.,0,2,โดยเฉพาะคุณแม่
882,wonderful man.,0,0,ผู้ชายที่ยอดเยี่ยม
883,?Hello everyone I want to remind something to our society.,0,2,?สวัสดีทุกคน ฉันอยากจะเตือนอะไรบางอย่างให้กับสังคมของเรา
884,"sometimes i was happy with my body, sometimes i hated it with every fiber of my being.",1,1,บางครั้งฉันก็มีความสุขกับร่างกายของฉัน บางครั้งฉันก็เกลียดร่างกายของฉัน
885,i'd have been lucky to make it to the front door.,1,0,ฉันโชคดีที่ไปถึงประตูหน้าได้
886,january 14 1950 i am filled with distaste for what i have done for all my works.,0,1,14 มกราคม พ.ศ. 2493 ฉันเต็มไปด้วยความไม่พอใจต่อสิ่งที่ฉันได้ทำไปสำหรับผลงานทั้งหมดของฉัน
887,"bury me in my leather jacket, jeans and motorcycle boots goodbye.""",0,2,"ฝังฉันไว้ในแจ็กเก็ตหนัง กางเกงยีนส์ และรองเท้าบูทมอเตอร์ไซค์ ลาก่อน"""
888,Therefore I decided to quit.,1,2,ฉันจึงตัดสินใจลาออก
889,then i found myself the whipping boy as reported in newspapers and on television.,0,2,จากนั้นฉันก็พบว่าตัวเองเป็นเด็กเฆี่ยนตีตามที่เป็นข่าวในหนังสือพิมพ์และโทรทัศน์
